title,authors,year,venue,entry_type,doi,url,source_files,dup_count,norm_title
CodePlan: Repository-Level Coding using LLMs and Planning,R. Bairi and Atharv Sonwane and A. Kanade and C. VageeshD. and Arun Shankar Iyer and Suresh Parthasarathy and S. Rajamani and B. Ashok and Shashank Shet,2023,Proceedings of the ACM on Software Engineering,article,,http://dl.acm.org/citation.cfm?id=3643757,papers_6.bib,1,codeplan repository level coding using llms and planning
CodeTeam: An LLM-Powered Multi-Agent Framework for Repository-Level Code Generation,Yifei Wang and Ruiyin Li and Peng Liang and Qiong Feng and Zengyang Li and Mojtaba Shahin and A. Khan,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289630087,papers_5.bib,1,codeteam an llm powered multi agent framework for repository level code generation
Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,Meghana Puvvadi and Sai Kumar Arava and Adarsh Santoria and Sesha Sai Prasanna Chennupati and Harsha Vardhan Puvvadi,2025,2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=10968728,papers_6.bib,1,coding agents a comprehensive survey of automated bug fixing systems and benchmarks
Coevolution Patterns to Detect and Manage UML Diagrams changes,Bassam Rajabi and S. Lee,2019,Int. J. Comput.,article,,https://api.semanticscholar.org/CorpusId:210898643,papers_7.bib,1,coevolution patterns to detect and manage uml diagrams changes
Combining concept lattice with call graph for impact analysis,Bixin Li and Xiaobing Sun and H. Leung,2012,Adv. Eng. Softw.,article,,https://doi.org/10.1016/j.advengsoft.2012.07.001,papers_12.bib+papers_7.bib+papers_8.bib,3,combining concept lattice with call graph for impact analysis
Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports (N),A. Lam and A. Nguyen and H. Nguyen and T. Nguyen,2015,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),article,,http://dl.acm.org/citation.cfm?id=3343945,papers_10.bib+papers_11.bib,2,combining deep learning with information retrieval to localize buggy files for bug reports n
"Complexity, parallel computation and statistical physics",J. Machta,2005,Complex.,article,,https://api.semanticscholar.org/CorpusId:18193043,papers_15.bib,1,complexity parallel computation and statistical physics
Components Impact Analyzer With Genetic Algorithm,K. Nathan and S. Balamurugan and A. Jalila,2013,Soft Computing Models in Industrial and Environmental Applications,inproceedings,,https://api.semanticscholar.org/CorpusId:56012354,papers_12.bib,1,components impact analyzer with genetic algorithm
Computing control invariant sets of nonlinear systems: decomposition and distributed computing,Benjamin Decardi-Nelson and Jin-Feng Liu,2022,ArXiv,article,,https://api.semanticscholar.org/CorpusId:248693545,papers_15.bib,1,computing control invariant sets of nonlinear systems decomposition and distributed computing
Conformal Computing: Algebraically connecting the hardware/software boundary using a uniform approach to high-performance computation for software and hardware applications,L. Mullin and J. Raynolds,2008,arXiv.org,inproceedings,,https://api.semanticscholar.org/CorpusId:16588341,papers_15.bib,1,conformal computing algebraically connecting the hardware software boundary using a uniform approach to high performance computation for software and hardware applications
Conformal selective prediction with cost aware deferral for safe clinical triage under distribution shift,H. Kwon and Dae-Jin Kim,2026,Scientific Reports,article,,https://api.semanticscholar.org/CorpusId:285813619,papers_16.bib,1,conformal selective prediction with cost aware deferral for safe clinical triage under distribution shift
Conquering the CNN Over-Parameterization Dilemma: A Volterra Filtering Approach for Action Recognition,Siddharth Roheda and H. Krim and Bo Jiang,2019,J. Mach. Learn. Res.,article,,https://api.semanticscholar.org/CorpusId:204823863,papers_15.bib,1,conquering the cnn over parameterization dilemma a volterra filtering approach for action recognition
Considering Polymorphism in Change-Based Test Suite Reduction,Ali Parsai and Q. Soetens and Alessandro Murgia and S. Demeyer,2014,XP Workshops,inproceedings,,https://api.semanticscholar.org/CorpusId:12944255,papers_12.bib,1,considering polymorphism in change based test suite reduction
Consistent Estimators for Learning to Defer to an Expert,Hussein Mozannar and D. Sontag,2020,International Conference on Machine Learning,inproceedings,,https://arxiv.org/pdf/2006.01862.pdf,papers_16.bib,1,consistent estimators for learning to defer to an expert
Context-Sensitive Impact Analysis for Enterprise Architecture Management,Melanie Langermeier and Christian Saad and B. Bauer,2014,International Symposium on Business Modeling and Software Design,inproceedings,,https://api.semanticscholar.org/CorpusId:53591141,papers_7.bib,1,context sensitive impact analysis for enterprise architecture management
ContextSniper: AntTrail's Token-Efficient Code Memory for Repository-Level Program Repair,C. Luk and Matin Mohammad Najafi and Zhifeng Jia and Wei Yang and Xiuchang Li and Jin-Wei Zhu and Yang Ren and Lei Chen and Gao Cong,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289935142,papers_14.bib,1,contextsniper anttrail s token efficient code memory for repository level program repair
Continuous Refinement-Based Digital Pathology Image Assistance Scheme in Medical Decision-Making Systems,Jia Wu and Tianchun Luo and Jia-Cheng Zeng and Fangfang Gou,2024,IEEE Journal of Biomedical and Health Informatics,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=10384686,papers_15.bib,1,continuous refinement based digital pathology image assistance scheme in medical decision making systems
Contract-Coding: Towards Repo-Level Generation via Structured Symbolic Paradigm,Yi Lin and Lujin Zhao and Yijie Shi,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:287479877,papers_5.bib,1,contract coding towards repo level generation via structured symbolic paradigm
Coordinate Constructions in English Enhanced Universal Dependencies: Analysis and Computational Modeling,Stefan Grunewald and P. Piccirilli and Annemarie Friedrich,2021,ArXiv,article,,https://api.semanticscholar.org/CorpusId:232240547,papers_9.bib,1,coordinate constructions in english enhanced universal dependencies analysis and computational modeling
CoreThink: A Symbolic Reasoning Layer to reason over Long Horizon Tasks with LLMs,Jay Vaghasiya and Omkar Ghugarkar and Vishvesh Bhat and Vipul Dholaria and Julian J. McAuley,2025,ArXiv,article,,https://api.semanticscholar.org/CorpusId:281080965,papers_14.bib,1,corethink a symbolic reasoning layer to reason over long horizon tasks with llms
CoRNStack: High-Quality Contrastive Data for Better Code Ranking,Tarun Suresh and R. Reddy and Yifei Xu and Zach Nussbaum and Andriy Mulyar and Brandon Duderstadt and Heng Ji,2024,International Conference on Learning Representations,inproceedings,,https://api.semanticscholar.org/CorpusId:274437477,papers_14.bib,1,cornstack high quality contrastive data for better code ranking
Cost-Optimal LLM Routing with Limited User Feedback under User Satisfaction Guarantees,"Herbert Woisetschl{\""a}ger and Arastun Mammadli and Ryan Zhang and Shiqiang Wang",2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289630296,papers_16.bib,1,cost optimal llm routing with limited user feedback under user satisfaction guarantees
Cost-Saving LLM Cascades with Early Abstention,Michael J. Zellinger and Rex Liu and Matt Thomson,2025,ArXiv,article,,https://api.semanticscholar.org/CorpusId:276317855,papers_15.bib,1,cost saving llm cascades with early abstention
CRITICAL COMPONENTS IDENTIFICATION USING MUTATION CRITICAL COMPONENTS IDENTIFICATION USING MUTATION BASED COMPONENTS IMPACT ANALYSIS BASED COMPONENTS IMPACT ANALYSIS,D. Jeyamala and K. Nathan and A. Jalila and S. Balamurugan,2020,unknown,inproceedings,,https://api.semanticscholar.org/CorpusId:231707839,papers_12.bib,1,critical components identification using mutation critical components identification using mutation based components impact analysis based components impact analysis
Cross-layer selective routing for cost and delay minimization in IEEE 802.11ac wireless mesh network,I-Wei Lai and N. Funabiki and Shigeto Tajima and M. A. Al Mamun and Sho Fujita,2017,Wireless Networks,article,,https://doi.org/10.1007/s11276-017-1462-9,papers_16.bib,1,cross layer selective routing for cost and delay minimization in ieee 802 11ac wireless mesh network
CrossCodeEval: A Diverse and Multilingual Benchmark for Cross-File Code Completion,Yangruibo Ding and Zijian Wang and Wasi Uddin Ahmad and Hantian Ding and Ming Tan and Nihal Jain and M. K. Ramanathan and Ramesh Nallapati and Parminder Bhatia and Dan Roth and Bing Xiang,2023,ArXiv,article,,https://arxiv.org/pdf/2310.11248.pdf,papers_5.bib,1,crosscodeeval a diverse and multilingual benchmark for cross file code completion
Crowdsourcing-Based Indoor Semantic Map Construction and Localization Using Graph Optimization,C. Li and Wennan Chai and Xiaohui Yang and Qingdang Li,2022,"Sensors (Basel, Switzerland)",article,,https://api.semanticscholar.org/CorpusId:251750843,papers_13.bib,1,crowdsourcing based indoor semantic map construction and localization using graph optimization
CSRNet: Cascaded Selective Resolution Network for Real-time Semantic Segmentation,Jingjing Xiong and Lai-Man Po and W. Yu and Chang Zhou and Pengfei Xian and Weifeng Ou,2021,Expert Syst. Appl.,article,,https://arxiv.org/pdf/2106.04400.pdf,papers_15.bib,1,csrnet cascaded selective resolution network for real time semantic segmentation
Customer Complaint Guided Fault Localization Based on Domain Knowledge Graph,Shuoshuo Sun and Z. Chai and Rui Wu and Jiawei Jin and Yonggeng Wang and Wenhao Xu and G. Qi,2023,International Conference on Database Systems for Advanced Applications,inproceedings,,https://doi.org/10.1007/978-3-031-30678-5\_43,papers_4.bib,1,customer complaint guided fault localization based on domain knowledge graph
D\&C: A Divide-and-Conquer Approach to IR-based Bug Localization,Anil Koyuncu and Tegawend{\'e} F. Bissyand{\'e} and Dongsun Kim and Kui Liu and Jacques Klein and Monperrus Martin and Y. Traon,2019,ArXiv,article,,https://api.semanticscholar.org/CorpusId:59608821,papers_10.bib+papers_11.bib,2,d c a divide and conquer approach to ir based bug localization
Data-driven prediction of change propagation using Dependency Network,Jih-Wan Lee and Y. Hong,2018,Eng. Appl. Artif. Intell.,article,,https://doi.org/10.1016/j.engappai.2018.02.001,papers_9.bib,1,data driven prediction of change propagation using dependency network
DataJoint: A Simpler Relational Data Model,Dimitri Yatsenko and Edgar Y. Walker and A. Tolias,2018,ArXiv,article,,https://api.semanticscholar.org/CorpusId:51867960,papers_9.bib,1,datajoint a simpler relational data model
Debug-localize-repair: a symbiotic construction for heap manipulations,Sahil Verma and Subhajit Roy,2020,Formal Methods in System Design,article,,https://api.semanticscholar.org/CorpusId:227209590,papers_14.bib,1,debug localize repair a symbiotic construction for heap manipulations
Decision-Aligned Evaluation of Uncertainty Quantification,Annika Schneider and Tommy Rochussen and Josh Stiller and Vincent Fortuin,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289630976,papers_16.bib,1,decision aligned evaluation of uncertainty quantification
DeepCode: Open Agentic Coding,Zongwei Li and Zhonghang Li and Zirui Guo and Xubin Ren and Chao Huang,2025,ArXiv,article,,https://api.semanticscholar.org/CorpusId:283711895,papers_5.bib,1,deepcode open agentic coding
DegDiT: Controllable Audio Generation With Dynamic Event Graph Guided Diffusion Transformer,Yisu Liu and Chen-Xing Li and Wanqian Zhang and Wen-Fu Wang and Meng Yu and Ruibo Fu and Zheng Lin and Weiping Wang and Dong Yu,2025,"IEEE Transactions on Audio, Speech and Language Processing",article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11393483,papers_4.bib,1,degdit controllable audio generation with dynamic event graph guided diffusion transformer
DeltaImpactFinder: Assessing Semantic Merge Conflicts with Dependency Analysis,Martin Dias and G. Polito and D. Cassou and St{\'e}phane Ducasse,2015,Proceedings of the International Workshop on Smalltalk Technologies,article,,https://api.semanticscholar.org/CorpusId:590567,papers_7.bib,1,deltaimpactfinder assessing semantic merge conflicts with dependency analysis
Demystifying LLM-Based Software Engineering Agents,Chun Xia and Yinlin Deng and S. Dunn and Lingming Zhang,2025,Proceedings of the ACM on Software Engineering,article,,https://api.semanticscholar.org/CorpusId:277850376,papers_14.bib+papers_6.bib,2,demystifying llm based software engineering agents
Demystifying the Vulnerability Propagation and Its Evolution via Dependency Trees in the NPM Ecosystem,Chengwei Liu and Sen Chen and Lingling Fan and Bihuan Chen and Yang Liu and Xin Peng,2022,2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE),article,,http://dl.acm.org/citation.cfm?id=3510142,papers_9.bib,1,demystifying the vulnerability propagation and its evolution via dependency trees in the npm ecosystem
Dependency-based syntax-aware word representations,Meishan Zhang and Zhenghua Li and G. Fu and Min Zhang,2021,Artif. Intell.,article,,https://doi.org/10.1016/j.artint.2020.103427,papers_9.bib,1,dependency based syntax aware word representations
Dependency-based targeted attacks in interdependent networks.,Dong Zhou and A. Bashan,2019,Physical review. E,article,,https://api.semanticscholar.org/CorpusId:209500730,papers_9.bib,1,dependency based targeted attacks in interdependent networks
Dependency Parsing by Belief Propagation,David A. Smith and Jason Eisner,2008,Conference on Empirical Methods in Natural Language Processing,inproceedings,,https://api.semanticscholar.org/CorpusId:12313253,papers_9.bib,1,dependency parsing by belief propagation
Dependency Parsing with Backtracking using Deep Reinforcement Learning,Franck Dary and M. Petit and Alexis Nasr,2022,Transactions of the Association for Computational Linguistics,article,,https://doi.org/10.1162/tacl\_a\_00496,papers_9.bib,1,dependency parsing with backtracking using deep reinforcement learning
Dependency Practices for Vulnerability Mitigation,Abbas Javan Jafari and D. Costa and Ahmad Abdellatif and Emad Shihab,2023,ArXiv,article,,https://arxiv.org/pdf/2310.07847.pdf,papers_9.bib,1,dependency practices for vulnerability mitigation
Dependency Propagation: A Unified Theory of Sentence Comprehension and Generation,K. Hasida and Syun Isizaki,1987,International Joint Conference on Artificial Intelligence,inproceedings,,http://ijcai.org/Proceedings/87-2/Papers/013.pdf,papers_9.bib,1,dependency propagation a unified theory of sentence comprehension and generation
Dependency Structure for News Document Summarization,Congbo Ma and Wei Emma Zhang and Hu Wang and Shubham Gupta and Mingyu Guo,2021,,inproceedings,,https://api.semanticscholar.org/CorpusId:247026125,papers_9.bib,1,dependency structure for news document summarization
DepGraph: A Dependency-Driven Accelerator for Efficient Iterative Graph Processing,Yu Zhang and Xiaofei Liao and Hai Jin and Ligang He and Bingsheng He and Haikun Liu and Lin Gu,2021,2021 IEEE International Symposium on High-Performance Computer Architecture (HPCA),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=9407071,papers_9.bib,1,depgraph a dependency driven accelerator for efficient iterative graph processing
DepRepair: LLM-Based Source-Code Repair for Dependency Breaking Changes,Shenghao Yang and Bo Lu and Yao Liu and Yu Kang and Qiong-Fang Zhang and Chetan Bansal and Saravan Rajmohan and Minghua Ma,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:290377585,papers_6.bib,1,deprepair llm based source code repair for dependency breaking changes
Design and Optimization of Heterogeneous Coded Distributed Computing with Nonuniform File Popularity,Yong Deng and Min Dong,2023,IEEE Transactions on Mobile Computing,article,,https://api.semanticscholar.org/CorpusId:263671718,papers_15.bib,1,design and optimization of heterogeneous coded distributed computing with nonuniform file popularity
Design of Experiments for Emulations: A Selective Review from a Modeling Perspective,Xinwei Deng and Lulu Kang and C. D. Lin,2025,unknown,inproceedings,,https://arxiv.org/pdf/2505.09596.pdf,papers_15.bib,1,design of experiments for emulations a selective review from a modeling perspective
Designing efficient cascaded classifiers: tradeoff between accuracy and cost,V. Raykar and B. Krishnapuram and Shipeng Yu,2010,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,article,,http://dl.acm.org/citation.cfm?id=1835912,papers_15.bib,1,designing efficient cascaded classifiers tradeoff between accuracy and cost
DevEval: A Manually-Annotated Code Generation Benchmark Aligned with Real-World Code Repositories,Jia Li and Ge Li and Yunfei Zhao and Yong-Ming Li and Huanyu Liu and Hao Zhu and Lecheng Wang and Kaibo Liu and Zheng Fang and Lanshen Wang and Jiazheng Ding and Xuan-Ming Zhang and Yuqi Zhu and Yihong Dong and Zhi Jin and Binhua Li and Fei Huang and Yongbin Li,2024,ArXiv,article,,https://arxiv.org/pdf/2405.19856.pdf,papers_5.bib,1,deveval a manually annotated code generation benchmark aligned with real world code repositories
"Diagnosability, Adequacy \& Size: How Test Suites Impact Autograding",Benjamin S. Clegg and Gordon Fraser and Phil McMinn,2022,Hawaii International Conference on System Sciences,inproceedings,,https://api.semanticscholar.org/CorpusId:245886019,papers_12.bib,1,diagnosability adequacy size how test suites impact autograding
"Differential static analysis: opportunities, applications, and challenges",Shuvendu K. Lahiri and K. Vaswani and C. A. R. Hoare,2010,FoSER '10,inproceedings,,http://dl.acm.org/citation.cfm?id=1882405,papers_8.bib,1,differential static analysis opportunities applications and challenges
Dissecting the SWE-Bench Leaderboards: Profiling Submitters and Architectures of LLM- and Agent-Based Repair Systems,Matias Martinez and Xavier Franch,2025,ArXiv,article,,https://api.semanticscholar.org/CorpusId:279464593,papers_14.bib+papers_6.bib,2,dissecting the swe bench leaderboards profiling submitters and architectures of llm and agent based repair systems
Do Not Treat Code as Natural Language: Implications for Repository-Level Code Generation and Beyond,Minh Le-Anh and Huyen Nguyen and An Khanh Tran and Nam Le Hai and L. Van and N. Bui and Bach Le,2026,Proceedings of the ACM on Software Engineering,article,,https://api.semanticscholar.org/CorpusId:285540752,papers_5.bib,1,do not treat code as natural language implications for repository level code generation and beyond
Does Impact Analysis Support the Review of Changes to Build Specifications?,Mahtab Nejati and Mahmoud Alfadel and Shane Mcintosh,2026,unknown,inproceedings,,https://api.semanticscholar.org/CorpusId:286096224,papers_7.bib,1,does impact analysis support the review of changes to build specifications
Drift Detection and Self-Healing Infrastructure with Ansible and GitOps,N. Seshagiri and B. Harve and Pavan Nutalapati and Rakesh Keshava and Arun Kumar Elengovan and Madhushree Kumari and Naga Satya Praveen Kumar Yadati,2025,2025 International Conference on Computer and Applications (ICCA),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11430977,papers_6.bib,1,drift detection and self healing infrastructure with ansible and gitops
Drop Test Impact Analysis—Experimental and Numerical Evaluations,S. S. Syed Abdullah,2021,unknown,inproceedings,,https://doi.org/10.1007/978-981-16-1323-4\_3,papers_12.bib,1,drop test impact analysis experimental and numerical evaluations
DTFL: A Digital Twin-Assisted Graph Neural Network Approach for Service Function Chains Failure Localization,Kuo Guo and Jia Chen and Ping Dong and Tao Zou and Jun Zhu and Xu Huang and Shang Liu and Chenxi Liao,2023,IEEE Transactions on Cloud Computing,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=10179962,papers_13.bib,1,dtfl a digital twin assisted graph neural network approach for service function chains failure localization
Dual-stream spatiotemporal graph attention network guided by lamb wave physics for damage localization,Chun-Bing Zhang and Xiao-Feng Liu and Daiping Wei and Fan Yang and Lin Bo and Jun Luo,2026,Mechanical Systems and Signal Processing,article,,https://doi.org/10.1016/j.ymssp.2026.114170,papers_4.bib,1,dual stream spatiotemporal graph attention network guided by lamb wave physics for damage localization
Dynamic hardware system for cascade SVM classification of melanoma,S. Afifi and H. Gholamhosseini and Roopak Sinha,2018,Neural Computing and Applications,article,,https://api.semanticscholar.org/CorpusId:51908975,papers_15.bib,1,dynamic hardware system for cascade svm classification of melanoma
Dynamic ICSP Graph Optimization Approach for Car-Like Robot Localization in Outdoor Environments,Wang Zhan and A. Lambert and Zhang Xun,2019,Comput.,article,,https://api.semanticscholar.org/CorpusId:202772333,papers_13.bib,1,dynamic icsp graph optimization approach for car like robot localization in outdoor environments
EA4RCA:Efficient AIE accelerator design framework for Regular Communication-Avoiding Algorithm,Wenbo Zhang and Yiqi Liu and Tianhao Zang and Zhenshan Bao,2024,ACM Transactions on Architecture and Code Optimization,article,,https://api.semanticscholar.org/CorpusId:271051421,papers_15.bib,1,ea4rca efficient aie accelerator design framework for regular communication avoiding algorithm
Early exit optimizations for additive machine learned ranking systems,B. B. Cambazoglu and H. Zaragoza and O. Chapelle and Jiang Chen and Ciya Liao and Zhaohui Zheng and Jon Degenhardt,2010,Web Search and Data Mining,inproceedings,,http://dl.acm.org/citation.cfm?id=1718538,papers_15.bib,1,early exit optimizations for additive machine learned ranking systems
EARS: Explanatory Abstention for Reliable Sub-Agent Modeling in Large-scale Multi-Agent Systems,Shuangyang Xie and Yunan Lu and Han Li and Lingyun Wang,2026,ArXiv,article,,https://arxiv.org/pdf/2606.18668.pdf,papers_16.bib,1,ears explanatory abstention for reliable sub agent modeling in large scale multi agent systems
ECIA: Elaborate Change Impact Analysis Based on Sub-Statement Level Dependency Graph,Zhe-Heng Liang and Jianming Chang and Wuqiang Shen and Chao-Sheng Yao and Lulu Wang,2023,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=10430003,papers_8.bib,1,ecia elaborate change impact analysis based on sub statement level dependency graph
Edge-Assisted Topology-Aware TDMA Scheduling for Shipborne Wireless Networks Using Array-Based Cooperative Localization*,Erzhao Wang,2025,"2025 International Conference on Signal Processing, Computer Networks and Communications (SPCNC)",article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11406583,papers_13.bib,1,edge assisted topology aware tdma scheduling for shipborne wireless networks using array based cooperative localization
Effective and Efficient Context Retrieval via Partial Dependency Graph for Repository-Level Code Generation,Zhongxin Liu and Zhonghao Jiang and Zhi-Fan Ye and Haoye Wang and Jiakun Liu and Xiao-Xue Ren,2026,unknown,inproceedings,,https://api.semanticscholar.org/CorpusId:290828181,papers_5.bib,1,effective and efficient context retrieval via partial dependency graph for repository level code generation
EFFICIENT AND ACCURATE INDOOR LOCALIZATION USING LANDMARK GRAPHS,F. Gu and A. Kealy and K. Khoshelham and J. Shang,2016,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",article,,https://api.semanticscholar.org/CorpusId:55362373,papers_13.bib,1,efficient and accurate indoor localization using landmark graphs
Efficient and Effective Tree-based and Neural Learning to Rank,Sebastian Bruch and C. Lucchese and F. M. Nardini,2023,ArXiv,article,,https://api.semanticscholar.org/CorpusId:258685571,papers_15.bib,1,efficient and effective tree based and neural learning to rank
Efficient and precise dynamic impact analysis using execute-after sequences,Taweesup Apiwattanapong and A. Orso and M. J. Harrold,2005,"Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.",article,,http://dl.acm.org/citation.cfm?id=1062534,papers_7.bib+papers_8.bib,2,efficient and precise dynamic impact analysis using execute after sequences
Efficient Cost-Aware Cascade Ranking in Multi-Stage Retrieval,Ruey-Cheng Chen and L. Gallagher and Roi Blanco and J. Culpepper,2017,Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,article,,https://api.semanticscholar.org/CorpusId:22047349,papers_15.bib,1,efficient cost aware cascade ranking in multi stage retrieval
Efficient Edge Inference by Selective Query,Anil Kag and Igor Z. Fedorov and Aditya Gangrade and P. Whatmough and Venkatesh Saligrama,2023,International Conference on Learning Representations,inproceedings,,https://openreview.net/forum?id=jpR98ZdIm2q,papers_15.bib,1,efficient edge inference by selective query
Efficient Second-Order TreeCRF for Neural Dependency Parsing,Yu Zhang and Zhenghua Li and Min Zhang,2020,ArXiv,article,,https://api.semanticscholar.org/CorpusId:218487136,papers_9.bib,1,efficient second order treecrf for neural dependency parsing
Efficient Skill Grounding via Code Refactoring with Small Language Models,S. Choi and Wonje Choi and S. Chun and Daehee Lee and Jooyoung Kim and Chaeun Lee and Honguk Woo,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289032260,papers_14.bib+papers_6.bib,2,efficient skill grounding via code refactoring with small language models
Efficient Verification of ReLU-Based Neural Networks via Dependency Analysis,E. Botoeva and Panagiotis Kouvaros and Jan Kronqvist and A. Lomuscio and R. Misener,2020,AAAI Conference on Artificial Intelligence,inproceedings,,https://doi.org/10.1609/AAAI.V34I04.5729,papers_9.bib,1,efficient verification of relu based neural networks via dependency analysis
Efficiently Deploying LLMs with Controlled Risk,Michael J. Zellinger and Matt Thomson,2024,ArXiv,article,,https://api.semanticscholar.org/CorpusId:273098055,papers_16.bib,1,efficiently deploying llms with controlled risk
"Embedded Intelligence on FPGA: Survey, Applications and Challenges",K. Seng and Paik Jen Lee and Li-Minn Ang,2021,Electronics,article,,https://api.semanticscholar.org/CorpusId:234120151,papers_15.bib,1,embedded intelligence on fpga survey applications and challenges
Empirical Effectiveness Evaluation of Spectra-Based Fault Localization on Automated Program Repair,Yu-Hua Qi and Xiaoguang Mao and Yan Lei and Ziying Dai and Yu-Dong Qi and Chengsong Wang,2013,2013 IEEE 37th Annual Computer Software and Applications Conference,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=6649928,papers_14.bib,1,empirical effectiveness evaluation of spectra based fault localization on automated program repair
Empirical Software Change Impact Analysis using Singular Value Decomposition,Mark Sherriff and Laurie A. Williams,2008,"2008 1st International Conference on Software Testing, Verification, and Validation",article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=4539554,papers_8.bib,1,empirical software change impact analysis using singular value decomposition
Enabling Data Dependency-based Query Optimization,D. Lindner and Daniel Ritter and Felix Naumann,2024,ArXiv,article,,https://doi.org/10.48550/arXiv.2406.06886,papers_9.bib,1,enabling data dependency based query optimization
Energy-Aware Scheduling for High-Performance Computing Systems: A Survey,Bartłomiej Kocot and Paweł Czarnul and Jerzy Proficz,2023,Energies,article,,https://api.semanticscholar.org/CorpusId:255922122,papers_15.bib,1,energy aware scheduling for high performance computing systems a survey
Engineering Change Management: A novel approach for dependency identification and change propagation for product redesign,M. Masmoudi and P. Leclaire and M. Haddar,2017,unknown,inproceedings,,https://doi.org/10.1016/J.IFACOL.2017.08.2427,papers_9.bib,1,engineering change management a novel approach for dependency identification and change propagation for product redesign
Enhanced Distributed Computation for Machine Learning: Coded Strategies and Multidisciplinary Impact,Xiaolin Tian,2025,ITM Web of Conferences,article,,https://api.semanticscholar.org/CorpusId:276433444,papers_15.bib,1,enhanced distributed computation for machine learning coded strategies and multidisciplinary impact
Enhancing Automated Program Repair via Faulty Token Localization and Quality-Aware Patch Refinement,Jiaolong Kong and Xiaofei Xie and Yiheng Xiong and Yue-Kun Wang and Jian Wang,2025,ArXiv,article,,https://arxiv.org/pdf/2511.18001.pdf,papers_14.bib,1,enhancing automated program repair via faulty token localization and quality aware patch refinement
Enhancing Code Understanding for Impact Analysis by Combining Transformers and Program Dependence Graphs,Yanfu Yan and Nathan Cooper and Kevin Moran and G. Bavota and Denys Poshyvanyk and S. Rich,2024,Proceedings of the ACM on Software Engineering,article,,https://api.semanticscholar.org/CorpusId:271168319,papers_8.bib,1,enhancing code understanding for impact analysis by combining transformers and program dependence graphs
Enhancing Repository-Level Code Generation with Integrated Contextual Information,Zhiyuan Pan and Xing Hu and Xin Xia and Xiao-Hu Yang,2024,ArXiv,article,,https://doi.org/10.48550/arXiv.2406.03283,papers_5.bib,1,enhancing repository level code generation with integrated contextual information
ENRE: A Tool Framework for Extensible eNtity Relation Extraction,Wuxia Jin and Yuanfang Cai and R. Kazman and Q. Zheng and Di Cui and Ting Liu,2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),article,,http://dl.acm.org/citation.cfm?id=3339698,papers_9.bib,1,enre a tool framework for extensible entity relation extraction
Environment-Guided Localization via Factor Graph Inference Under Obstructed Line-of-Sight Conditions,Shino Shiraki and Takahiro Matsuda and Yoshiaki Nishikawa and Eiji Takahashi and Takeo Onishi and Toshiki Takeuchi and Kazushi Muraoka,2026,IEEE Journal of Indoor and Seamless Positioning and Navigation,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11480786,papers_4.bib,1,environment guided localization via factor graph inference under obstructed line of sight conditions
Evaluating Agent-Based Program Repair at Google,Pat Rondon and Renyao Wei and J. Cambronero and Jurgen Cito and Aaron Sun and Siddhant Sanyam and Michele Tufano and Satish Chandra,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),article,,https://api.semanticscholar.org/CorpusId:275471574,papers_6.bib,1,evaluating agent based program repair at google
