task_id,status,parent_commit,target_commit,parent_available,target_available,n_changed,n_production,n_test,n_test_added,n_test_modified,n_test_deleted,n_migration,n_config_or_infra,f2p_candidacy,test_command
saleor-rc-36c0a2029b60,OK,9e45fc88aacc86271e757adb464fdc3297999f39,36c0a2029b607f166a543216300a20e81bec8d0c,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-373efa067922,OK,771406651dba053c7a0421a053a8a6b653832272,373efa067922e942e503b210ca4cbfaa7be72962,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/bulk_mutations/test_staff_bulk_delete.py
saleor-rc-37a3a7bbec31,OK,6370f4a6b8a5bb47949c3df4aab2c0d4ad744994,37a3a7bbec31be4c7cab5d136584077c68155b0f,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/order/tests/test_emails.py
saleor-rc-381d4354ead1,OK,d898408886100f032a9602f6d580d1c3657124f6,381d4354ead1cdc8b22cd029af183b8e6451c656,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-39ef77fc9bcb,OK,2982153a404f0bdbe39a59dd2f3a288bbf39f557,39ef77fc9bcb0f7240408fa415603cc454a8d0e2,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-3bf31ab2fefc,OK,d24336188b88c0ac93712245550cccea856fc00a,3bf31ab2fefca154d841803c9fc71057938ce5f9,True,True,13,3,1,0,1,0,9,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/benchmark/test_checkout_mutations.py
saleor-rc-3cac33590b90,OK,ca14a5ae26eeda06be20161f7ed9cf4c306c958f,3cac33590b90fd34e33ac593180c67f014d9a372,True,True,6,3,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/page/tests/queries/pages_with_where/test_with_where_attributes.py; pytest saleor/graphql/product/tests/queries/test_products_query_with_where.py; pytest saleor/graphql/product/tests/queries/variants_where/test_over_attributes.py
saleor-rc-3d304a30a5bc,OK,86d4b0f2168ac85f4db1f1d3e33f65da713e7f65,3d304a30a5bcc96b8abb6ac35fc6c75f20cbad45,True,True,13,5,8,0,8,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/deprecated/test_checkout_shipping_method_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete_with_payment.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete_with_transactions.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_delivery_method_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_shipping_address_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_shipping_method_update.py; pytest saleor/graphql/checkout/tests/mutations/test_order_create_from_checkout.py; pytest saleor/graphql/checkout/tests/test_checkout.py
saleor-rc-3f8a4320b1c9,OK,5a39bbf6d782e30f47af4a4008e509d6b267a375,3f8a4320b1c918108df6322991dd419c9b2fcb9e,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-4086a98fdc78,OK,ef6d87dc7749869b1299bcab02f91c3b27bbbbb4,4086a98fdc787bf429db9653def58ed741c0a064,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-43262efc09bb,OK,1e5f7caa32f4f43c6e6e57e7f9a137ef7b6821e3,43262efc09bbadacf7aaca6d84e6adfc3dd2558d,True,True,11,11,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-438595033c60,OK,1cf6ef650a0cf9b668b1868dca3d134232defebe,438595033c608219a88583ae91d50f2e2415e558,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/tests/test_tracing.py; pytest saleor/graphql/tests/test_utils.py
saleor-rc-4386f322f659,OK,4cbcbdb4df8595ba6dc992e184bdfaae459998f2,4386f322f6598cba95d499ac5b9c852aea2844e4,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/attribute/tests/test_utils.py; pytest saleor/graphql/attribute/tests/test_utils.py
saleor-rc-45301d74fb45,OK,69e9d82b1a85614fb959de8bc2f343ec4c28f7d2,45301d74fb4511b28d6685a9058e57e0c20596a2,True,True,6,4,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/test_checkout.py; pytest saleor/graphql/checkout/tests/test_checkout_promo_codes.py
saleor-rc-45cfb26218c8,OK,0df27b1eb5b484e775bc2e8091d2a39d0dd33098,45cfb26218c8b0e59be8409bdbfd14ec7189f4d0,True,True,11,8,2,2,0,0,1,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/meta/tests/mutations/test_channel.py; pytest saleor/graphql/meta/tests/queries/test_channel.py
saleor-rc-46456e7317ca,OK,c4457317c2f6cbe37cfc94104eb1e97ede83ffd1,46456e7317ca5729241a9f62ff7250e3cf0b00a1,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/core/tests/test_pagination.py
saleor-rc-477f7178142c,OK,d89366116a224bcea0ea5ad3013119a70c74fff3,477f7178142c48b41a1dacbae5093e0899c4d42c,True,True,3,3,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-4800fa0beb60,OK,a130b8f23f70f332e563bb8c3cbd8ea9ab2cf972,4800fa0beb6063e2d4b0fdbdef142259bed717fd,True,True,4,1,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/app/tests/fixtures/webhooks/payment_app.py; pytest saleor/graphql/payment/tests/mutations/test_transaction_initialize.py; pytest saleor/graphql/payment/tests/mutations/test_transaction_process.py
saleor-rc-481c2d367c6f,OK,02129de660f4158783cc03d8f4f61973ad1c75fc,481c2d367c6ffe14a5dff85aa983adbea911285c,True,True,13,8,5,0,5,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/queries/test_product_types_query.py; pytest saleor/graphql/product/tests/test_product_pagination.py; pytest saleor/tests/e2e/checkout/test_buy_gift_card_in_the_checkout.py; pytest saleor/tests/e2e/product/utils/product_type.py; pytest saleor/tests/e2e/product/utils/product_type_update.py
saleor-rc-484ce8815cf4,OK,c8462848d9c9a7bb3f209b879d924c395829394b,484ce8815cf4c6724d49ce26dce5da7fc07ba174,True,True,8,4,4,0,4,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/np_atobarai/tests/conftest.py; pytest saleor/payment/gateways/np_atobarai/tests/test_api.py; pytest saleor/payment/gateways/np_atobarai/tests/test_api_helpers.py; pytest saleor/payment/gateways/np_atobarai/tests/test_utils.py
saleor-rc-4902175839c9,OK,f00361947283ae16af92c1766e4eb63ac36fcf23,4902175839c964b94b430191dcc6db181d2da0d9,True,True,5,5,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-4931e989d82d,OK,a2aa0cf23c365d25970a7087bdd07bc47b15a30b,4931e989d82dd30329329938863322aa0ab7d16b,True,True,4,1,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/stripe/tests/test_plugin.py; pytest saleor/payment/gateways/stripe/tests/test_plugin_deprecated.py; pytest saleor/payment/gateways/stripe/tests/test_stripe_api.py
saleor-rc-4adf36dfdbe7,OK,d189ef8ea7044526746ab9482ede7b10deb3ef34,4adf36dfdbe72d356f20321c3f7ca03648c6f58d,True,True,7,3,2,0,2,0,2,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/test_account.py; pytest saleor/thumbnail/tests/test_views.py
saleor-rc-4d82a7601853,OK,8567a1b1bb88084f5242c2cfd46726c3e632ecd2,4d82a7601853659f97d39aae4f1cc626cda75f7e,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-4e45b83e7475,OK,405a7038d0a7da1d342c3bb4718108265e78fa14,4e45b83e7475a3ebc9b3076d7941a2916d0c386c,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/test_order.py
saleor-rc-4fa88efe7c69,OK,341b8d333e6f4c3fb74b1d99fd7c49d6ea0017f6,4fa88efe7c6976c426ddc85fd0846bd26e2d1118,True,True,14,4,0,0,0,0,0,10,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-4fc702179851,OK,7468c40f2e84fe1c5ff37491d690bec8a43c344f,4fc702179851b9d488ccc8b6afe20b98c631ffff,True,True,4,2,0,0,0,0,2,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-506cd1157e9c,OK,17eba06ac9a7b998ab88cd88e223e6b40bc6f1a8,506cd1157e9c1bb83b6153b6561a179ad92dd17f,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/mutations/test_order_bulk_create.py
saleor-rc-50eff94aa37c,OK,d32d5bfdf154d50e06c4f26810303b9b776db5f3,50eff94aa37cb8b0394643e9b5baca4352b9b096,True,True,15,8,4,0,4,0,3,0,MODIFIED_TEST_CANDIDATE,pytest saleor/core/tests/test_postgresql_search.py; pytest saleor/graphql/product/tests/test_category.py; pytest saleor/graphql/product/tests/test_collection.py; pytest saleor/graphql/product/tests/test_product.py
saleor-rc-5144ee6bd55f,OK,20a2b1f48f34d70b4a21c9b3d66d7f744495d4cf,5144ee6bd55fd1e31d205fa50659a5db07c27bbb,True,True,10,7,2,0,2,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/queries/test_customers_where_filtering.py; pytest saleor/graphql/order/tests/queries/test_order_with_where.py
saleor-rc-52a797b00af3,OK,72dac7b4f43f03daafdfa5c669c94d33b51b4606,52a797b00af305c5bf7732d2b654822f6f4d556d,True,True,14,9,5,0,5,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/core/tests/test_graphql.py; pytest saleor/graphql/product/tests/test_collection.py; pytest saleor/graphql/product/tests/test_product.py; pytest saleor/graphql/product/tests/test_product_pagination.py; pytest saleor/product/tests/test_product.py
saleor-rc-5477b7dd3867,OK,ecca6f88c52d51e6887fd54362032b76371a5cca,5477b7dd3867bc4be1257bd38a63cd9545d4a52e,True,True,7,5,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/mutations/test_checkout_lines_add.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_lines_update.py
saleor-rc-54b2e510c366,OK,e1aa51039cf77b22f0cd2a9b2cd19349c7dd527f,54b2e510c366c855d4d5a52700a0b6e304a36c96,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-54bbb04b8954,OK,d9c21de1c0ed33c0b09ea89ec92fed0188e10f6a,54bbb04b895460cb88d624edb49eb37596d66e30,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/test_checkout_complete.py
saleor-rc-55ff6b5b2b65,OK,f378f31242ab4334bfcb18332a13483568a47438,55ff6b5b2b6584bed844080185804f5d70c1474a,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/asgi/tests/test_cors.py
saleor-rc-571a3b145aea,OK,3f8a1afe77ab7e2e2ec7a315c2facd1be1729f21,571a3b145aeaefed14a8140208ae54450834c288,True,True,6,2,4,0,4,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/payment/tests/test_payment.py; pytest saleor/tests/fixtures.py
saleor-rc-57441a31a14b,OK,ac7db9d50a714aadad360131729480ea0a95abb1,57441a31a14b1f9abf9e9964ab3068dbd75eb485,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-5821309aed09,OK,e22fa96674e379c90da3a9644218fc7cffa3a3a6,5821309aed09ba6f1089f9f2f08691bd3812b8b3,True,True,15,6,9,0,9,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_cart.py; pytest saleor/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/checkout/tests/benchmark/conftest.py; pytest saleor/graphql/checkout/tests/test_checkout.py; pytest saleor/graphql/checkout/tests/test_checkout_digital.py; pytest saleor/plugins/avatax/tests/test_avatax.py; pytest saleor/plugins/vatlayer/tests/test_vatlayer.py; pytest saleor/tests/fixtures.py; pytest saleor/warehouse/tests/test_stock_availability.py
saleor-rc-585562cf1cec,OK,7d9b5d25a153b0943c087e5f01fa745a68f3980a,585562cf1cecd77f96f7a2aa783e73aae4fd1a23,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/webhook/tests/test_webhook_payloads.py
saleor-rc-598aca390888,OK,07496600832afa2a0461598d9cb9e22e133f4e56,598aca390888d841b67fc77711afd4d375f2b663,True,True,4,2,0,0,0,0,2,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-5adf2a55d3e7,OK,12235a227e34d889f7adb33dd87c42a4c8c99793,5adf2a55d3e7b350109f9f6a74399766e0bfe4ae,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-5af4a7b5656e,OK,d7a76373f2dba062175bf4e834d1c7c56dc1dc27,5af4a7b5656eb3959276ec01e38287c9fe4b7b1c,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-5c458f26276d,OK,9e2b6133154744b0575692ac8018c284f0c419eb,5c458f26276d374607ebc2fa6b38219697b207cc,True,True,6,3,2,0,2,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/core/tests/test_postgresql_search.py; pytest saleor/graphql/product/tests/test_product.py
saleor-rc-5c50110d46a2,OK,c68c40aaa0c1e0e9d2b8e5304e83a0277e1745d9,5c50110d46a250d72fa23c1a7f38feb3b64b6921,True,True,8,6,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/avatax/tests/test_avatax.py; pytest saleor/plugins/vatlayer/tests/test_vatlayer.py
saleor-rc-5d2721a36364,OK,be430445a2c08f707146b148a63cb3e058c4c0fe,5d2721a363642d633618ef7e25d7e939b7cc8a98,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/queries/test_product_type_query.py
saleor-rc-5ed60eba096a,OK,bb063575d501b8ebeda0625b50fdcf779db5b82b,5ed60eba096a35ce304001c32e786fe2cff58d13,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-5f78ba7b1647,OK,02d266b6e34b84d4cca5bcfc05d78490a1d10dec,5f78ba7b164730a844ec868db6669639babc402f,True,True,6,5,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/vatlayer/tests/test_vatlayer.py
saleor-rc-5f8b1cc4db2d,OK,75baa5634eafa7fe0db62a6296f177ee76721058,5f8b1cc4db2d54295193eb92d7b862164ce197ce,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/queries/test_pagination.py; pytest saleor/graphql/product/tests/queries/test_products_query.py
saleor-rc-6370f4a6b8a5,OK,8f874dd50ceb010162e34f3ff1c738ca430e25f8,6370f4a6b8a5bb47949c3df4aab2c0d4ad744994,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/menu/tests/test_menu.py; pytest saleor/graphql/product/tests/deprecated/test_product.py
saleor-rc-63a25a0c46d5,OK,bc136cc765e24131e89ef5e3292cf26a66f58641,63a25a0c46d54b6f800ddb2f94ca20cba50f54f3,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/core/utils/tests/test_events.py
saleor-rc-63a31dd3c8ca,OK,34b9c885bf0939c0cb323cc9f3d311f09d51fa36,63a31dd3c8ca9f366b53756fc75c6679fd9768e5,True,True,5,2,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/webhook/tests/test_webhook.py
saleor-rc-65643ec7c37f,OK,f96e490ecf7dd8f9ab1a787253deb327b22657fe,65643ec7c37f68aea30f668feed4193c34a33db8,True,True,5,4,1,1,0,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/core/tests/test_converters.py
saleor-rc-659af1b19239,OK,6b23d81b4516289fd34fa420eadcafe735c7bb3e,659af1b19239efec168ffd752bb908f9e93ea65e,True,True,13,7,6,1,5,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/checkout/tests/mutations/test_checkout_shipping_address_update.py; pytest saleor/graphql/checkout/tests/test_checkout_price_expiration.py; pytest saleor/tests/e2e/__init__.py; pytest saleor/tests/e2e/checkout/test_checkout_switch_from_cc_to_standard_delivery_method.py; pytest saleor/tests/e2e/checkout/utils/checkout_delivery_method_update.py; pytest saleor/tests/e2e/warehouse/utils/create_warehouse.py
saleor-rc-65a07d9986ec,OK,062b574e7eb8e7597ac88e26967b50fdd9d08bda,65a07d9986ecf0bb2fd5a65f84022a39e3619d57,True,True,3,3,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-65dfc61ec9fc,OK,46d26a91a68b2fa9ada0e923d9dc7731264ff46b,65dfc61ec9fc5cd69439816bf1b68fe8c6df71c3,True,True,16,6,3,0,3,0,7,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete_with_payment.py; pytest saleor/graphql/payment/tests/mutations/test_checkout_payment_create.py
saleor-rc-663543eaf563,OK,da11036b099a0251646a4d32987cc205cc327101,663543eaf563e773983e2482b667c45bc540d54b,True,True,6,2,4,3,0,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/payment/tests/test_utils/__init__.py; pytest saleor/payment/tests/test_utils/test_parse_transaction_action_data_for_action_webhook.py; pytest saleor/payment/tests/test_utils/test_parse_transaction_action_data_for_session_webhook.py
saleor-rc-66907b149076,OK,eb2d368d7885e6f41952c4a5e1d3f9fdd8e967d8,66907b149076418cc20168692e7d8dbb00353e8a,True,True,15,7,8,0,8,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/mutations/test_attribute_update.py; pytest saleor/graphql/attribute/tests/test_utils.py; pytest saleor/graphql/product/tests/deprecated/test_product_variant_bulk_create.py; pytest saleor/graphql/product/tests/mutations/test_product_bulk_create.py; pytest saleor/graphql/product/tests/mutations/test_product_create.py; pytest saleor/graphql/product/tests/mutations/test_product_update.py; pytest saleor/graphql/product/tests/mutations/test_product_variant_bulk_create.py; pytest saleor/tests/fixtures.py
saleor-rc-67cd71a9e0b7,OK,64c99525a4bd1dfbb4ed1d6f707550b4b3f42253,67cd71a9e0b76b954d5576f3565c11364dae8ef5,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/thumbnail/tests/test_views.py
saleor-rc-68777a15d2a4,OK,fb8708830766058b384ccf461bf1b636da71b1fe,68777a15d2a4cae720423d324bfd6ff688ce1c45,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-68fb4bf4a458,OK,d1674dee1fbed87b0de57824a2d5b7f1b9e06e83,68fb4bf4a458c0556056ba76aa105c6b5c271b6f,True,True,3,3,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-693eb302968c,OK,db212f09fbbb8af308970ed2e22328e9ec4df362,693eb302968cc2633ed75af6bb9a8159599242fd,True,True,21,13,7,0,7,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/test_order.py; pytest saleor/order/tests/test_order.py; pytest saleor/plugins/avatax/tests/test_avatax.py; pytest saleor/plugins/tests/sample_plugins.py; pytest saleor/plugins/tests/test_manager.py; pytest saleor/plugins/vatlayer/tests/test_vatlayer.py; pytest saleor/webhook/tests/test_webhook_payloads.py
saleor-rc-697cbdc85b4a,OK,1162f6e2edc76e399aa6c1ac6c8ef73a0772a16a,697cbdc85b4a184c1b07c91303e47506d30b0b1e,True,True,5,3,2,2,0,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/core/types/tests/__init__.py; pytest saleor/graphql/core/types/tests/test_money.py
saleor-rc-6a1f884168d2,OK,916c1e29f26552213ca16dc1ddfc8425f5021976,6a1f884168d23962d2fc14a0d65979f770b57314,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/shop/tests/test_shop.py
saleor-rc-6c928b72daa4,OK,46a2a565f410d2235d9798f3e2b2433ff82c509c,6c928b72daa432ebfa31341310ee32984c11a1f7,True,True,5,4,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/queries/test_attribute_query.py
saleor-rc-73b8f4c2a451,OK,6912a504c5401d6d95e409e2f74b61635f5efcc3,73b8f4c2a451ce7b9190490716323ff732850da5,True,True,3,3,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-74fbba6d0734,OK,a4621623f618921b35090f3bdbb61a706686bcb9,74fbba6d07346addec1d6477533beb9e5dc295ba,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/mutations/authentication/test_token_create.py; pytest saleor/graphql/account/tests/mutations/authentication/test_token_refresh.py
saleor-rc-7691de1ea22e,OK,7d12bbd0d90c7fbecb5d8bfb289c05acbfdcddad,7691de1ea22e7bb30c6f3aa86c91634ed4e2b61b,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/queries/test_order.py
saleor-rc-78c9081e2731,OK,7a977f5c1366b549891e7ff236a699ecd2a280be,78c9081e273173907d50b255310be2b4cbfe0658,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/test_product_sorting.py
saleor-rc-78d985111cd9,OK,8de7ca21d6b1831f0f94d36448067bf914379d3d,78d985111cd904c9a6709d32cf6b6f94daa1d2e1,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-796f4a0fd969,OK,cdcbd5cda46e00856270c4ad86214ffe6d2ed349,796f4a0fd9690c374195135488c36e8641833f24,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/mutations/test_product_bulk_create.py
saleor-rc-799a9f1c915a,OK,63b7903e4c1b43bc4c8e3db83be90ca2a280bef8,799a9f1c915adbb5c0e74094fcf1d29db7320840,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-7b1e8cee95d5,OK,e848f046c912cf0b4ecb2b311af6ab9ed62368cd,7b1e8cee95d53c6662953ff86a63d8b1761055a7,True,True,9,7,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/queries/test_attribute_query.py; pytest saleor/graphql/attribute/tests/queries/test_attribute_where.py
saleor-rc-7b3fbb77c331,OK,de0e787f40744e3b9a54be0cda2d3224d96766fd,7b3fbb77c33120d32b17952d584112bc4159ffce,True,True,7,3,3,0,3,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/payment/tests/test_payment.py; pytest saleor/payment/gateways/stripe/tests/test_plugin.py; pytest saleor/payment/tests/test_payment.py
saleor-rc-7bbeb193b718,OK,4874c4155c1642363c99b77ca32b3c84c5ec67e0,7bbeb193b718b3c335e19478076ed7c3f7351efe,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-7e42fc67ce72,OK,798632158394c9f2911e6d36e8e424fd55007dc4,7e42fc67ce72770720440781fc83685a48bd91b8,True,True,8,4,4,0,4,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/app/tests/test_app_commands.py; pytest saleor/app/tests/test_installation_utils.py; pytest saleor/app/tests/test_validators.py; pytest saleor/graphql/app/tests/mutations/test_app_fetch_manifest.py
saleor-rc-7f841e468194,OK,6eec2d4894d29bbf7fb5d9e52d1dfde20f45f081,7f841e468194126ce9fc49170458f1e511898e4a,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-80a33b28b80d,OK,23332839f45e4e2c88471e6005ac29e3df288ab5,80a33b28b80d7010adad6637bc1b954a243727aa,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/test_checkout.py; pytest saleor/graphql/webhook/tests/pregenerated_subscription/test_checkout_resolvers.py
saleor-rc-81d02e76b22e,OK,c6220233ccb1ed14fbd66c48b7febbbe62cf4411,81d02e76b22e3d3b3603e5ae27c5788033ac01b3,True,True,22,8,11,0,11,0,3,0,MODIFIED_TEST_CANDIDATE,pytest saleor/app/tests/test_app_commands.py; pytest saleor/app/tests/test_installation_utils.py; pytest saleor/graphql/app/tests/mutations/test_app_create.py; pytest saleor/graphql/app/tests/mutations/test_app_token_create.py; pytest saleor/graphql/app/tests/mutations/test_app_token_delete.py; pytest saleor/graphql/app/tests/mutations/test_app_token_verify.py; pytest saleor/graphql/app/tests/mutations/test_app_update.py; pytest saleor/graphql/app/tests/queries/test_app.py; pytest saleor/graphql/core/tests/test_context.py; pytest saleor/graphql/tests/fixtures.py; pytest saleor/tests/fixtures.py
saleor-rc-8220a53473bb,OK,3459d2b68cef1a85443d6f867caa8330017303fa,8220a53473bb67bbb247490cbd043c56dac4568c,True,True,6,4,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest tests/api/test_csv.py; pytest tests/test_csv_export.py
saleor-rc-82cc17adedba,OK,e21d5dfead8142b564e827896d7ec29ef73184c2,82cc17adedba7854f9715f44f45d5304d05cce81,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-8406dce8d1b7,OK,6a1bd7af29701b9cc1bf083868ddbb24a4968743,8406dce8d1b78d517dcbc65289609128e203c480,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-843a2c1905ad,OK,1f8ff02d8dd0367d985b1bcabcb1030d3b8a20cc,843a2c1905ad253efc736f8b5e8e76a9006d233b,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/mutations/test_order_lines_create.py
saleor-rc-85d416c024e1,OK,0183cc0e8f8af76b490e992e1a680975cab7d115,85d416c024e17cc1be0821aef7653de2e5260da8,True,True,11,6,4,0,4,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/order/tests/test_order.py; pytest saleor/order/tests/test_order.py; pytest saleor/order/tests/test_order_actions.py
saleor-rc-884327b653cc,OK,4cbec186740cad4e6cd988f61ac43c65cd6bcdff,884327b653cc035fdd9c5c85d0601744f7bad43c,True,True,6,4,1,0,1,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/giftcard/tests/mutations/test_gift_card_update.py
saleor-rc-897f9e7d6766,OK,78eed93507dfe8143c22e14f66964ce244bf50f4,897f9e7d67660fc0b74100f79a4ebff630b46756,True,True,7,7,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
